,,"왜란의 영향으로 나라가 혼란하니, \n관청에선 산적들을 무찌를 여력도 없나 봐요.","Due to the impact of the war, the number of bandits has increased significantly.",,,"왜놈들이 사용하던 조총은, \n먼 서쪽 나라 상인들에게서 들여왔다고 해요.",I heard Japanese's matchlock gun were imported from merchants of a distant western country. ,,,뒤에서 창귀들을 조종하는 어떤 존재가 느껴져요…,,,,"도깨비들은 신비한 힘을 다루며, 사람들에게 장난을 치는 것을 좋아해요."
,,"조선 팔도 곳곳에서 산적 소식이 들린다고 하니, \n험난한 과거길이 되겠네요...",It will be a treacherous journey….,,,서쪽 나라는 어떤 곳일까요? \n무엇이 있을까요?,What kind of place is this western country? What else could they have?,,,무언가 원한에 가득 찬… \n강력한 악령인 것 같아요...,,,,"들리는 소문에 의하면, 빗자루에 사람의 피가 묻으면 도깨비가 된다는 말도 있어요."
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,산적들은 과거시험길에 오르는 선비를 \n자주 약탈하고는 했다는데...,I've heard that bandits frequently target traveling seonbi.,,,왜란 이전에 왜놈들은 수십 게의 세력으로 나뉘어 \n자기들끼리 피 튀기게 싸웠다고 해요.,"Before the Imjin war, Japanese was divided into numerous factions and engaged in bloody internal conflicts.",,,,,,,"도깨비들은 짓궂은 장난을 치기 좋아하지만, 심성이 악한 존재는 아니에요."
,,"당신이 싸우는 걸 보면, \n산적들도 참 먹고살기 힘들겠다는 생각이 드네요.","However, after witnessing your impressive combat skills, it appears that even the bandits have a hard time eking out a living.",,,"오랜 싸움으로 인해, \n왜군들은 무예를 숭상하는 문화를 가지게 되었다고 들었어요.","It is said that due to prolonged battles, the enemy developed a culture of martial arts reverence.",,,,,,,납치된 관찰사님의 따님에게도 별일이 없으시면 좋겠네요...
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,"드디어, 백마산 앞마을까지 돌아왔어요!","Finally, we have returned to the village near Baekma Mountain!",,,창귀는 호랑이에게 물려 죽은 귀신이에요. \n사람들을 유인해 호랑이에게 물려 죽도록 만드는 악령이죠.,,,,남루한 행색의 선비가 설마...
,,,,,,왜란 때 후퇴하지 못한 왜놈 잔당들이 \n백마산에서 산적질을 벌이고 있어요. \n이번에야말로 놈들을 크게 혼내주자고요!,The remnants of the Japanese invaders are causing trouble with their banditry at Baekma Mountain. \nIt's time to give them a harsh lesson!,,,하지만 창귀가 시체에 들러붙어 움직인다는 말은 처음 들어요... \n무언가 창귀들을 부리고 있는 걸까요?,,,,
